filename,generated answer,true initial value,factor 1,factor 2,factor 3,factor 4,factor 5,factor 6
24 Applebees.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000",,,,,,
25 Express Employment Professionals.pdf-all_items_item_5.txt,"$ 40 , 000","$40,000",,,,,,
26 Chili's.pdf-all_items_item_5.txt,"$ 60 , 000","$60,000","$40,000 (UDP)",,,,,
27 Jack In The Box.pdf-all_items_item_5.txt,"$ 50 , 000","$50,000",,,,,,
28 Buffalo Wild Wings.pdf-all_items_item_5.txt,"$ 45 , 000","$30,000","$45,000(20 year agreement)",,,,,
29 Planet Fitness.pdf-all_items_item_5.txt,"$ 20 , 000","$20,000",,,,,,
30 Berkshire Hathaway.pdf-all_items_item_5.txt,"$ 25 , 000","$25,000",,,,,,
31 The UPS Store.pdf-all_items_item_5.txt,"$ 9 , 950","$29,950","$19,950(under conditons)","$9,950 (Rural Area)",,,,
32 Servpro.pdf-all_items_item_5.txt,"$ 90 , 000","$90,000",,,,,,
33 IHOP.pdf-all_items_item_5.txt,"between $ 0 to $ 300 , 000","$50,000(single)","$40,000(MULTI)","$0 TO $300,000(IHOP)",,,,
35 Five Guys.pdf-all_items_item_5.txt,"$ 25 , 000","$25,000",,,,,,
36 Denny's.pdf-all_items_item_5.txt,"$ 10 , 000","$30,000","$10,000(10 YEAR AGREEME)",,,,,
37 Culver's.pdf-all_items_item_5.txt,"$ 55 , 000","$55,000","$30,000(mentoring program)","$45,000(veteran discount)",,,,
38 Wingstop.pdf-all_items_item_5.txt,"$ 20 , 000","$20,000","$5,000(veteran)",,,,,
39 Jersey Mikes.pdf-all_items_item_5.txt,"$ 18 , 500","$18,500",,,,,,
40 Paris Baguette.pdf-all_items_item_5.txt,fifty thousand dollars,"$50,000","$40,000(multiple stores)",,,,,
41 Hardee's.pdf-all_items_item_5.txt,"$ 15 , 000","$25,000","$15,000(development agreem)",,,,,
42 Jimmy John's.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000",,,,,,
43 Vavoline Instant Oil Change.pdf-all_items_item_5.txt,"$ 30 , 000","$30,000(first center)","$20,000(second center)","$5,000(second center conversion)","$5,000(thrid and beyond)",,,
44 Home Instead.pdf-all_items_item_5.txt,"$ 54 , 000","$54,000",,,,,,
45 Zaxbys.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000",,,,,,
46 Carl's Jr..pdf-all_items_item_5.txt,"$ 25 , 000","$25,000",,,,,,
47 Baskin Robbins.pdf-all_items_item_5.txt,"$ 12 , 500","$25,000","$12,500 (gas station for 10 years)","$6,250 at SDO location","$10,000 (Combo)",,,
49 Snap-On Tools.pdf-all_items_item_5.txt,"$ 16 , 000","$8,000 (min)","$16,000(max)",,,,,
50 Anytime Fitness.pdf-all_items_item_5.txt,"$ 42 , 500","$42,500",,,,,,
51 Jiffy Lube.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000 (new center)","$17,500 (converted center)",,,,,
52 Midas.pdf-all_items_item_5.txt,"$ 35 , 000","$35,000 (new center)","$17,500 (converted center)",,,,,
54 Homevesters.pdf-all_items_item_5.txt,"$ 85 , 000","$85,000 (Full)","$39,000(associate)","$76,500(veteran -full franchise)","$35,100(veteran associate)","$68,000 Multi full franchise","$31,200 Multi associate",
