File Name,Answer,Exclusive Territory (Yes/No),Original Decision,Support Statement
1 McDonald's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"The Franchise Agreement does not contain any exclusive grant, exclusive area, exclusive territorial rights, protected territory, or any right to exclude, control, or impose conditions on the location or development of future McDonald’s restaurants at any time. You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
13 REMAX.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
45 Zaxbys.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the development agreement,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
47 Baskin Robbins.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You also do not have any type of non-exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
22 Papa John's.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from Restaurants that we own, or from other channels of distribution or competitive brands that we control."
38 Wingstop.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
36 Denny's.pdf-all_items_item_12.txt,You do not receive any exclusive territory or the territorial rights under the franchise agree-ment,No,No,"Except for your right to operate a Denny’s restaurant at or from the premises of the restaurant, you do not receive any exclusive territory or the territorial rights under the franchise agreement."
6 Chick-fil-A.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive or protected territory, express or implied. The License Agreement contains no exclusive grant, exclusive area, exclusive territorial rights, protected territory or right for you to exclude, disapprove, control or impose conditions on the location, development or operation of current or future Chick-fil-A Restaurants."
44 Home Instead.pdf-all_items_item_12.txt,Protected areas of home,Yes,Yes,"You are granted the right to operate a Franchised Business within a defined geographic area with an estimated minimum population of 10,000 people aged 65 years and older ('Protected Area'). We will not license the right to another franchisee to open and operate a Franchised Business nor will we operate a Home Instead business within the Protected Area granted to you by the Franchise Agreement."
41 Hardee's.pdf-all_items_item_12.txt,You will not receive an exclusive territory under the development agreement,No,No,"You will not receive any exclusive territory under the Franchise Agreement. You may face competition from other franchisees, from outlets that we own and/or operate, or from other channels of distribution or competitive brands that we control."
40 Paris Baguette.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
49 Snap-On Tools.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,You will not receive an exclusive territory. You may face competition from us or other third parties or from other channels of distribution or competitive brands that we control.
4 Burger King.pdf-all_items_item_12.txt,You will not receive an exclusive territory,No,No,"You will not receive an exclusive territory. You may face competition from other franchisees, from outlets that we own, or from other channels of distribution or competitive brands that we control."
